Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
FACS___184,0.018699234,0,0,0,0.022954869,0,0.015187293,0,0,0.004306486,0,0,0,0,0,0.016502426,0,0.010844787,0.021704498,0,0,0.89,0,0.546359131,1.045554601
BN___16,0,0.008321933,0,0,0.026021031,0,0.007511697,0,0,0,0.043412953,0,0,0,0,0.007457826,0,0,0.01761058,0,0,0.89,0,0.845123798,0.63175815
D_M__78,0,0.013481651,0,0,0,0.033284081,0,0.009939918,0,0.012741924,0,0.00353398,0.019235431,0,0,0,0,0,0.018204831,0,0,0.89,0,0.796437177,0.718927928
BN___37,0,0,0,0,0,0.043841786,0.011533609,0,0,0,0.008485763,0,0,0,0,0,0,0,0.028885041,0,0.019100667,0.89,0,0.775853291,0.748277192
BN___55,0,0.007700148,0,0,0.011762229,0.02034286,0,0,0,0,0,0.02413662,0.006580846,0,0,0,0,0,0.043048356,0,0,0.89,0,0.642870021,0.93069674
BN___32,0.005938319,0,0,0,0.039990704,0.00097457,0.014339461,0,0,0.017950643,0.004639016,0,0,0,0,0,0,0.005218089,0.025142761,0,0,0.89,0,0.868350224,0.584442131
BN___29,0,0,0,0,0.039628379,0.004754483,0.010010686,0,0,0.016604193,0.008585608,0,0,0,0,0,0,0.009602526,0.025509542,0,0,0.89,0,0.86522718,0.590406471
BN___28,0,0.011006463,8.95912234069158e-05,0,0.032441485,0,0.007465044,0,0,0.013330688,0.041589284,0,0,0,0,0.002949767,0,0.000103262,0.007310634,0,0,0.88,0,0.857862165,0.604472661
DBP_M__171,0.007103371,0,0,0,0.014525024,0,0,0,0.016040705,0.002148979,0,0.03284572,0,0,0,0,0,0,0.043699193,0,0,0.88,0,0.67483228,0.887059699
BN_M_O_36,0,0.011136125,0,0,0,0.016758148,0,0.026373793,0,0.008491301,0,0.025497464,0,0,0,0,0.001324753,0,0,0.027089262,0,0.88,0,0.775099297,0.745993825
D_M__81,0.002714659,0,0,0,0.053652585,0,0.012710806,0,0,0.020470898,0,0,0,0,0,0,0,0,0.027935654,0,0,0.88,0,0.739824182,0.796985845
BN___33,0,0.018080864,0,0,0.033454003,0,0.003563232,0,0,0.012623507,0.040809258,0,0,0,0,0.007831153,0,0,0.002038969,0,0,0.88,0,0.858381169,0.602431646
DBN___143,0.04006927,0,0.000828765,0,0.005707093,0.013417431,0.021518615,0.001304097,0,0.000451322,0.025749494,0,0,0,0,0,0,0.010120175,0,0,0,0.88,0,0.77200148,0.747620548
BN___53,0,0.016399312,0,0,0.027523723,0.016543257,0.003250713,0,0,0,0.025360842,0,0,0,0,0.010157642,0,0,0.020070043,0,0,0.88,0,0.564011111,1.018548314
DBN___144,0.0398892,0,0.002277986,0,0.004866633,0.014572444,0.021579342,0.001673443,0,0.000610212,0.02449737,0,0,0,0,0,0,0.00985085,0,0,0,0.88,0,0.770502835,0.74938353
D___138,0,0,0,0,0.0144139,0.040273742,0.017785924,0.01062211,0,0.01538272,0,0,0,0,0,0,0,0.005602622,0.016163637,0,0,0.88,0,0.879956219,0.556519369
DBN_F_A_139,0.013933849,0,0,0,0.015939378,0.016327944,0.003505455,0.010958935,0,0,0.032900112,0,0,0,0,0,0,0.000344176,0,0.026378867,0,0.88,0,0.858790805,0.600223857
DBN_F_A_140,0.004888582,0,0,0,0.016884282,0.016908482,0.010043808,0.009007141,0,0,0.035533776,0,0,0,0,0,0,0,0,0.027713882,0,0.88,0,0.857561991,0.602059652
BN___31,0,0.003750798,0,0,0.042388495,0.010636114,0.006068677,0,0,0.019874147,0,0.007142616,0,0,0,0,0,0.003559327,0.027681903,0,0,0.88,0,0.851249991,0.613194397
D_M_A_118,0.052132778,0,0,0,0.011832367,0,0.003084401,0,0,0,0.040522879,0,0,0,0,0,0,0.00833571,0,0.007074327,0,0.88,0,0.608891215,0.964793573
BN___19,0,0,0,0,0.032452195,0.014084187,0.012267416,0.006212438,0,0.017965761,0,0.007644339,0,0,0,0,0,0.002668629,0.02976808,0,0,0.88,0,0.836816251,0.638020667
FACS___183,0.052897047,0,0,0,0.048970546,0,0.003544789,0,0,0,4.74792316821467e-05,0,0,0,0,0.014561606,0,0,0.004922399,0,0,0.88,0,0.474305315,1.111989896
