Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
D_F_Y_125,0.12682529,0,0,0.009024527,0,0.115713089,0,0,0,0,0,0.026931809,0,0,0,0,0,0.000372602,0,0.126243711,0.398705339,0.2,0.003,0.336087134,0.974837378
D_F__84,0.02011193,0,0,0,0.024887295,0,0,0,0,0.000508359,0.038751476,0,0.651307025,0.037923186,0,0,0,0.002359585,0,0.030470929,0,0.19,0,0.729613401,0.683469099
D_F__85,0,0,0,0,0.014973857,0.017991588,0.001608882,0,0,0,0.01989108,0,0.722277427,0.034306487,0,0,0,0.002692658,0,0,0,0.19,0,0.764185564,0.645026669
D___69,0.034542445,0,0,0.107791008,0.068611655,0.102088823,0,0,0.008811136,0,0.008401654,0.06652017,0.040713264,0,0,0,0,0.031526699,0,0.327066548,0.060447895,0.14,0.001,0.452301653,0.902925019
D___70,0.04396896,0,0,0.092438471,0.080688967,0.088692655,0,0,0.012902018,0,0.020705697,0.052875634,0.037485131,0,0,0,0,0.03318505,0,0.332858364,0.062332143,0.14,0.001,0.452497178,0.902257474
D___68,0.016084634,0,0,0.116850701,0.088788323,0.103094735,0,0,0.001852365,0,0.006952142,0.06556141,0.043442612,0,0,0,0,0.036606996,0,0.30972221,0.072677098,0.14,0.001,0.447490112,0.904308471
D_F_Y_61,0.048331919,0,0,0.011867607,0.048210565,0.136906565,0.007872089,0,0,0,0.066482882,0,0.547902972,0,0,0,0,0.000124895,0.019522851,0,0,0.11,0,0.806790107,0.623851023
D_M_A_120,0.090955611,0,0,0.086297801,0,0.088431145,0,0.004571844,0.011721242,0,0.006485921,0.072131299,0.075946437,0.005072962,0,0,0,0,0,0.18484488,0.272642658,0.1,0.005,0.294236698,0.984526308
DBN___146,0.048257971,0,0,0.039143168,0.117682288,0.262456653,0.026967011,0,0,0,0.132536137,0,0.287757029,0,0,0,0,0.001279945,0.002514886,0,0.013138964,0.07,0,0.475131379,0.879663414
BN___57,0.030130697,1.63805766852087e-05,0,0,0.031234156,0.10553615,0,0,0.005093799,0,0.073369187,0,0.689039265,0.015183085,0,0,0,0.006526955,0.013785167,0,0,0.03,0,0.807254361,0.611511747
DBN___147,0.066387519,0,0,0.00180848,0.057972243,0.524819207,0,0,0,0,0.177946371,0,0.08063155,0,0,0,0,0.001717868,0,0.051136293,0.014700907,0.02,0.001,0.415996778,0.918416226
D_F_A_60,0.029505919,0,0,0,0.056139789,0.139275406,0,0,0,0,0.085389022,0,0.646780528,0.01747738,0,0,0,0.005959841,0,0,0,0.02,0,0.836928227,0.590204096
BN___58,0.027334307,0.001099472,0,0.006638127,0.009125878,0.016757723,0,0,0,0,0.039074438,0,0.852919128,0.011102453,0,0,0,0.000462732,0.024009375,0,0,0.01,0,0.830588095,0.561679085
DBN_M_Y_149,0.038165623,0,0.000819643,0,0,0.517919177,0.005379528,0,0,0,0.229255118,0,0.150147508,0,0,0.004923319,0,0.001610798,0,0.014625231,0.030688371,0.01,0.003,0.341234629,0.963057028
D_F_O_59,0.076547076,0,0.000838394,0.028319529,0.132804537,0.192493017,0.011065366,0,0,0,0.056201748,0,0.482190265,0.006347516,0,0,0,0,0.013192552,0,0,0,0,0.720765217,0.721067789
DBN___148,0.357825698,0,0,0.012331511,0,0.512367076,0,0,0,0,0,0.063396738,0.019598845,0.012659735,0,0,0,0.007046301,0.010725912,0,0.004048185,0,0.402,0.031079977,1.129114749
